IP address,TCP Connection,Trace,Result
8.8.8.6,False,False,"Execution FAILED, Return Code 9"
8.8.8.7,False,False,"Execution FAILED, Return Code 9"
8.8.8.8,False,False,"Execution OK, Answer OK"
8.8.8.9,False,False,"Execution FAILED, Return Code 9"
8.8.8.10,False,False,"Execution FAILED, Return Code 9"
8.8.8.16,False,False,"Execution FAILED, Return Code 9"
8.8.8.17,False,False,"Execution FAILED, Return Code 9"
8.8.8.18,False,False,"Execution FAILED, Return Code 9"
8.8.8.19,False,False,"Execution FAILED, Return Code 9"
8.8.8.20,False,False,"Execution FAILED, Return Code 9"
8.8.8.11,False,False,"Execution FAILED, Return Code 9"
8.8.8.12,False,False,"Execution FAILED, Return Code 9"
8.8.8.13,False,False,"Execution FAILED, Return Code 9"
8.8.8.14,False,False,"Execution FAILED, Return Code 9"
8.8.8.15,False,False,"Execution FAILED, Return Code 9"
8.8.8.0,False,False,"Execution FAILED, Return Code 9"
8.8.8.1,False,False,"Execution FAILED, Return Code 9"
8.8.8.2,False,False,"Execution FAILED, Return Code 9"
8.8.8.3,False,False,"Execution FAILED, Return Code 9"
8.8.8.4,False,False,"Execution FAILED, Return Code 9"
8.8.8.5,False,False,"Execution FAILED, Return Code 9"
